hour,day,rssi,distance,label
2,1,-56.77455088,0.003101812,1
6,1,-68.12761855,0.00098474,0
22,1,-62.04473013,0.003540382,0
11,3,-85.07061028,0.021470986,2
9,6,-62.18566352,0.001219567,0
11,0,-23.9937352,0.001579925,0
7,1,-47.77174007,0.00176058,0
22,0,-59.01405635,0.000808717,0
20,1,-61.36163044,0.006649833,1
8,2,-83.36016065,0.003932753,1
20,0,-88.61849888,0.001691288,0
18,5,-55.27769416,0.000357678,0
1,6,-51.15984281,0.001545598,1
10,4,-54.20278908,0.001446933,0
21,4,-42.60052476,0.001060409,0
21,0,-58.63336171,0.029081912,2
21,6,-61.93716925,0.002852329,0
8,4,-40.07380391,0.000772133,0
20,4,-44.85288382,0.000904092,0
8,5,-55.61681368,0.001206972,0
22,1,-76.69408721,0.001447191,0
20,6,-51.43199407,0.015815005,2
15,4,-86.11255943,0.004116981,2
7,3,-64.14376238,0.000516257,0
2,0,-61.9555088,0.005133264,1
12,0,-58.48608749,0.006036523,1
20,6,-69.30797204,0.0002981,0
7,5,-53.971592,0.001600766,0
7,3,-71.20114069,0.002235699,0
18,0,-41.70958616,0.000794021,0
13,3,-38.02275042,0.001559583,0
23,5,-78.6926166,0.005659526,1
9,1,-53.95407538,0.001114903,0
4,1,-58.52837303,0.004059564,1
20,5,-50.29346235,0.000197329,0
9,2,-52.56537375,0.00052888,0
9,0,-48.49710305,0.000950638,0
21,0,-77.20570104,0.004297941,1
3,6,-51.94521193,0.006560454,1
13,2,-59.90475746,0.000271853,0
8,2,-45.73511301,0.001576808,0
21,4,-40.83654787,0.002234928,0
12,3,-58.10969918,0.000857572,0
8,5,-46.71270588,0.001249171,0
12,3,-58.03469148,0.000678122,0
2,3,-66.12296952,0.00471256,1
20,0,-73.82788682,0.004062787,2
1,0,-46.8391221,0.005153748,1
22,6,-66.57723958,0.004568986,1
8,6,-52.48594993,0.012402972,2
12,2,-75.88333339,0.022832809,2
18,4,-45.0974695,0.000304579,0
8,3,-84.12147181,0.007037803,1
9,3,-52.3414879,0.001996488,0
2,0,-63.33911867,0.002863589,1
1,6,-68.84698483,0.000552474,0
8,6,-66.04081167,0.00217681,0
14,2,-99.8093052,0.008198641,2
21,6,-51.0986138,0.001104852,0
23,6,-66.0703036,0.002400358,1
23,4,-54.07692977,0.004135006,1
8,0,-73.41536932,0.000352819,0
0,5,-64.7137944,0.005636622,1
19,4,-55.38232702,0.000986491,0
0,2,-40.26433974,0.001903611,0
3,6,-51.04268064,0.002777009,1
18,6,-58.89700307,0.001462367,0
0,5,-61.09746731,0.004807572,1
22,1,-48.98890301,0.000130677,0
21,1,-58.66895422,0.002755195,0
7,2,-54.62081063,0.000428678,0
19,6,-50.76156658,0.001405211,0
17,4,-54.04683218,0.022996112,2
23,0,-68.19057021,0.006597945,1
0,0,-71.30499628,0.001268637,0
22,6,-48.41516019,0.001036072,0
3,5,-52.29202874,0.001869329,0
22,3,-73.17001439,0.003140835,1
23,2,-69.27407942,0.005960208,1
21,1,-77.44654703,0.002387352,1
19,6,-56.62276976,0.002649729,0
5,3,-60.28531643,0.003403747,1
9,5,-39.61308898,0.005378111,1
9,6,-73.56589899,0.001000425,0
22,6,-67.45743064,0.002480825,1
9,0,-50.86664553,0.001181531,0
11,3,-75.51019111,0.012232277,2
22,5,-71.62701324,0.003000052,0
2,6,-63.07184694,0.000550715,1
3,5,-72.2831515,0.001414564,1
7,6,-48.48908874,0.000418948,0
3,0,-84.79325611,0.004333225,1
19,5,-69.02485638,0.002201218,0
7,3,-59.35935269,0.000232125,0
22,1,-58.27742716,0.0144368,1
21,3,-24.60357604,0.001720502,0
16,5,-41.67620444,0.001015496,0
9,0,-53.4115331,0.001072408,0
7,6,-62.59519111,0.001436137,0
20,0,-41.55259448,0.002701587,0
7,3,-40.83359491,0.000102234,0
20,6,-71.18731726,0.004928411,1
8,5,-65.19961779,0.011262829,2
7,1,-53.3384985,0.000753203,0
21,6,-45.9674445,0.000494947,0
20,0,-67.89822573,0.000441875,0
19,2,-46.65163273,0.001434001,0
22,4,-59.1383076,0.001068653,0
14,5,-96.103188,0.020581261,2
7,6,-42.59599606,0.000236769,0
19,0,-60.31117531,0.002516253,0
1,1,-66.21040381,0.029727418,2
9,0,-59.56597035,0.001541604,0
7,1,-61.72088063,0.002537078,0
20,5,-61.6554321,0.004882841,1
22,2,-61.72727038,0.001298243,0
2,6,-70.30868773,0.008588695,1
21,3,-47.53602686,0.000388554,0
21,4,-58.51290112,0.00692812,1
4,3,-60.51632257,0.000912118,0
8,4,-54.62850761,0.000530566,0
6,5,-50.69582116,0.000481841,0
6,0,-53.44728006,0.000449002,0
